EGID;VOLUMEN
3022100;816
2331710;830
3022101;1034
3022102;1906
3022103;1147
3022104;900
3022105;695
210228260;200
3022106;695
210228261;164
3022107;695
210228262;164
3022108;992
3022109;1241
3022110;1517
210228187;193
3022111;1019
3022112;1001
3022113;1019
210059467;492
3022114;2574
210228263;220
210228227;36
210228128;212
210228127;743
3022115;1036
3022116;1036
210228153;233
3022117;1046
3022118;878
210228264;126
3022119;804
210228265;126
3133153;756
210228266;111
3022121;1210
210251908;1925
3022123;1148
3133134;1759
3022124;6699
1600215;977
3022125;1351
3022126;748
3022127;748
3022128;748
3022129;748
3022130;745
3022131;745
3022132;745
3022133;829
3022134;967
210228204;63
3133131;1183
1600180;1193
210228171;128
3133139;767
210228229;38
210059483;902
210228170;166
3022135;988
3133149;817
3022136;1140
1600231;864
9083165;1921
210228126;272
1600071;620
210228192;89
3133132;811
210228267;434
201030898;711
210228191;102
210228193;76
200295710;787
210228167;83
191961061;9
210228240;24
210228242;24
210228233;25
210228146;154
210228748;107
210059506;1117
210059507;1466
210059508;817
210228162;147
191960183;293
210228134;333
210228235;24
210228201;63
210059516;816
210228248;43
210228243;22
191960185;151
210228225;30
210228219;47
191961060;9
210228198;33
11513433;674
11513432;1354
200295709;977
210228268;768
200295699;1292
210059528;1183
210059529;1043
210228183;184
210059531;995
210228177;189
201002000;995
210228178;111
201001999;995
210228179;111
201001998;995
210228176;111
201001997;995
210228182;111
200295812;731
200295814;623
200295815;812
210228269;578
210228247;17
210228236;13
3022120;756
210228270;111
3133158;695
210228271;164
1600220;964
210228207;63
210228209;66
210059546;699
210059547;740
210059548;699
210228272;64
210059550;1033
210059551;1033
210059552;1746
210228104;1468
210059554;1226
210228273;125
210228274;230
210228275;79
210228135;931
210228195;57
210059561;3047
210059562;3063
210059563;2388
210059564;1677
210059565;1891
210059566;1573
210228277;1256
210228278;53
210228279;52
210059570;1273
210228214;55
210059572;941
210168261;1134
210168270;4768
210168271;3893
210228280;1930
210168801;1297
1600089;2547
210228281;2459
1600312;2696
210228159;177
210170150;673
210170151;655
210170152;673
210170153;760
210170154;729
210170155;767
210170156;711
210170157;823
210228282;1868
210170176;835
210171028;1884
210228145;160
191960196;2621
210171788;1365
210171794;1343
210171798;1042
210172439;981
210172452;772
210172570;679
210172571;679
210172572;662
210172573;662
210228283;528
210228284;565
210228137;257
201029116;3529
200295714;870
201029131;1437
210174651;1262
1600110;1134
210228152;752
210175262;1033
210228285;94
201036556;2232
210181448;845
201029132;892
201036557;2466
201029130;2802
201029123;1052
201029122;1052
201029121;1139
201029120;1139
201029119;1139
201029118;1139
210228286;1304
210228287;833
210251907;5329
210228138;241
210177626;712
210177627;609
210177628;3297
210228288;1378
210228289;2256
201038085;3042
201038089;3042
201027775;2888
201038086;2903
210228290;3143
201026737;2907
201026736;2972
201026448;2845
210228291;2345
210228174;102
210184261;1162
210184276;1180
210184220;3651
210184219;3319
210228292;1963
210182578;3876
201030889;133
210228120;1938
201029128;3960
201029127;3960
201029126;3960
201029125;3960
210228293;1296
210184283;1069
2331621;3603
210228083;17810
210184280;2723
210228294;743
201026735;3462
201026734;3462
201026450;3462
210228295;1875
1600240;1771
201029529;2067
210193953;1437
210193954;1476
210193952;3099
210228221;39
210190117;993
210190118;1248
210228218;58
210228114;1224
210228088;7578
210228158;162
210182754;1798
210228103;1140
210228296;340
191960190;23
210199228;540
210199017;1523
210215694;1498
210199013;3266
210199012;3240
210229166;2269
210228747;21
210228215;47
3133137;1592
210213999;2483
210203987;888
210203986;3374
210203985;3374
210215670;5314
210213948;2011
210228169;95
210228253;15
210215859;895
210228220;114
210239991;4564
210239994;5150
210239995;11979
210215058;1804
210215057;2282
210219207;2560
201029124;856
210218763;1119
210219206;843
210218814;1393
210228021;237
3133143;203
3133144;203
3133145;203
210218463;1148
210222550;2055
210220446;3367
210251903;2400
191959752;79
210218130;1085
191959225;1095
191959228;340
9009900;738
210262779;1235
210059575;2051
2249041;24584
2331717;3330
876;7980
2249042;5864
887;10049
210059577;1997
200294656;2316
2331719;25567
1;11335
877;50410
210059581;52813
616;3551
614;3558
210244891;3438
568;1036
210262453;327
210262615;121
902;2169
901;9301
899;2312
210262832;66
2331721;4405
22;2325
182;2988
210262833;66
900;20605
368;3909
956;14089
1350;4076
210262384;3532
1097;1065
210262632;54
891;7366
955;787
210262399;1380
954;1578
587;7979
952;1296
953;1918
689;6627
949;7130
210262836;126
210262749;17
1424;1871
948;1583
973;1591
947;19608
290;5179
292;7846
957;1647
946;2253
945;905
1018;771
823;8330
944;1755
958;3643
841;11705
2331722;4834
943;1800
210059598;120
210262839;442
201024176;2970
942;1902
1375;12998
1104;747
2248789;2377
210298412;7176
569;761
808;657
358;3515
809;1097
3114606;1273
1289;964
210059600;66
783;891
790;522
812;742
787;2589
781;1974
210262472;126
780;1312
788;2148
789;3220
210262478;139
210262701;43
210059604;80
836;9383
2331724;6352
779;3075
86;716
88;684
792;5441
210262582;49
777;912
435;3100
791;865
210262772;2073
2249044;4190
776;3317
1360;2284
210210740;1395
1361;1811
9009899;258
1362;2342
796;1412
1363;2317
794;1096
1364;1936
795;2051
1365;1700
785;1138
210262572;74
210196417;295
753;2098
2248801;3249
755;2095
2331725;1640
756;1730
2331726;136
754;2095
2331727;1533
752;1730
201007681;9852
1290;707
1041;9941
210262421;395
738;5485
210262773;405
751;3658
853;7482
650;8081
210262547;84
653;6575
742;1194
2249011;506
745;1681
746;1029
748;1191
210203185;4543
749;2379
210196371;1365
626;4946
210262500;244
1044;3255
210262553;59
627;1885
47;575
48;567
49;567
2331731;16801
50;573
595;3841
610;1123
1040;3860
51;567
201007717;1394
514;22480
586;1508
585;1393
590;4190
584;1562
2249086;9658
594;1180
592;3695
2331732;7158
210262129;7308
210059627;303
52;575
58;585
59;567
60;567
61;587
62;587
907;6938
63;567
64;567
65;575
53;575
54;567
2331733;948
55;585
896;2224
210298415;3243
56;590
57;575
210262846;2151
206;3528
185;880
210059634;293
186;724
187;740
188;816
2331738;1721
210196456;2538
889;4053
1207;7211
537;5617
1032;2861
1244;1698
201025485;6142
579;7017
210059649;142
210262184;4278
210220766;934
210262855;1845
701;576
210262656;45
1191;1515
700;1344
698;2091
699;1010
683;6439
696;1217
695;1502
697;2350
694;2792
686;868
1146;566
2331746;1612
491;3866
1140;656
210262416;412
826;5917
827;5649
490;3834
210262804;639
687;2261
1141;659
856;7750
531;1834
210262491;178
210059664;485
556;851
688;2291
526;6123
516;3273
210262680;44
681;823
210262677;44
210262682;44
210262678;44
210262681;44
166;2026
684;6303
950;2849
1446;583
210262456;450
3114654;736
214;708
532;4972
961;1478
960;1037
210262432;376
201007724;663
917;2589
210262514;181
67;7690
964;4452
210262831;672
965;814
170;779
70;7696
963;1964
962;3161
